,policy_id,authorities_contacted_police,injury_claim,num_vehicles_involved,incident_type_collision,policy_liability,fraud,customer_gender_male,num_injuries,incident_dow,collision_type_front,driver_relationship_self,authorities_contacted_fire,incident_day,total_claim_amount,incident_month,incident_severity,policy_state_or,customer_gender_female,collision_type_rear,policy_state_id,incident_type_theft,policy_deductable,policy_state_az,policy_state_ca,num_witnesses,driver_relationship_spouse,driver_relationship_na,policy_state_nv,vehicle_claim,policy_annual_premium,driver_relationship_other,incident_hour,collision_type_na,driver_relationship_child,num_claims_past_year,months_as_customer,police_report_available,authorities_contacted_ambulance,customer_education,customer_age,incident_type_breakin,auto_year,authorities_contacted_none,num_insurers_past_5_years,collision_type_side,policy_state_wa
0,3392,0,0.0,2,1,2,0,0,0,3,1,1,1,3,36000.0,1,2,0,1,0,0,0,750,0,0,0,0,0,0,36000.0,2850,0,6,0,0,0,272,0,0,3,59,0,2018,0,1,0,1
1,73,1,500.0,3,1,1,0,1,1,2,0,1,0,21,39000.0,8,2,0,0,1,0,0,750,0,1,2,0,0,0,38500.0,3000,0,1,0,0,1,18,1,0,1,28,0,2020,0,5,0,0
2,1829,0,0.0,1,1,3,0,1,0,3,1,0,0,10,13500.0,1,0,0,0,0,0,0,750,1,0,0,1,0,0,13500.0,2650,0,9,0,0,0,40,0,0,1,49,0,2019,1,3,0,0
3,1832,1,9500.0,3,1,1,0,1,1,1,0,1,0,11,33000.0,6,2,1,0,0,0,0,750,0,0,1,0,0,0,23500.0,3000,0,15,0,0,0,18,1,0,4,27,0,2013,0,5,1,0
4,3558,0,0.0,1,0,0,0,1,0,1,0,0,0,21,7500.0,5,0,0,0,0,0,0,750,0,1,0,0,1,0,7500.0,2600,0,18,1,0,0,60,0,0,3,52,1,2014,1,1,0,0
5,3603,0,0.0,2,1,1,0,1,0,6,1,1,0,22,10500.0,12,0,1,0,0,0,0,750,0,0,0,0,0,0,10500.0,3000,0,18,0,0,0,77,0,0,1,48,0,2012,1,1,0,0
6,3611,1,3500.0,3,1,0,0,0,3,3,1,1,0,23,38500.0,5,2,0,1,0,0,0,750,0,1,1,0,0,0,35000.0,3000,0,10,0,0,0,103,1,0,3,26,0,2019,0,1,0,0
7,1958,1,6500.0,2,1,1,0,1,1,2,0,1,0,4,28500.0,9,1,0,0,0,0,0,750,1,0,2,0,0,0,22000.0,2650,0,10,0,0,0,126,1,0,4,72,0,2020,0,1,1,0
8,318,1,25000.0,3,1,1,0,1,1,2,0,0,0,11,39500.0,9,1,0,0,1,0,0,750,0,0,0,1,0,1,14500.0,2650,0,16,0,0,0,138,1,0,3,42,0,2013,0,1,0,0
9,434,1,0.0,4,1,0,0,1,0,3,1,1,0,7,14500.0,3,0,0,0,0,0,0,750,0,1,4,0,0,0,14500.0,2650,0,19,0,0,0,17,1,0,3,34,0,2018,0,2,0,0
10,2160,1,0.0,1,0,0,0,0,0,4,0,0,0,29,14500.0,3,0,0,1,0,0,0,750,0,1,0,0,1,0,14500.0,3000,0,22,1,0,0,24,0,0,0,25,1,2019,0,2,0,0
11,2191,1,0.0,1,0,0,0,1,0,0,0,0,0,18,15500.0,3,1,0,0,0,0,1,750,1,0,0,0,1,0,15500.0,3000,0,18,1,0,0,181,0,0,3,39,0,2018,0,1,0,0
12,710,1,0.0,1,0,1,0,1,0,1,0,0,0,12,13000.0,11,1,0,0,0,0,1,750,0,0,0,0,1,0,13000.0,3000,0,15,1,0,0,35,0,0,3,24,0,2013,0,2,0,1
