fraud,authorities_contacted_police,injury_claim,num_vehicles_involved,incident_type_collision,policy_liability,customer_gender_male,num_injuries,incident_dow,collision_type_front,driver_relationship_self,authorities_contacted_fire,incident_day,total_claim_amount,incident_month,incident_severity,policy_state_or,customer_gender_female,collision_type_rear,policy_state_id,incident_type_theft,policy_deductable,policy_state_az,policy_state_ca,num_witnesses,driver_relationship_spouse,driver_relationship_na,policy_state_nv,vehicle_claim,policy_annual_premium,driver_relationship_other,incident_hour,collision_type_na,driver_relationship_child,num_claims_past_year,months_as_customer,police_report_available,authorities_contacted_ambulance,customer_education,customer_age,incident_type_breakin,auto_year,authorities_contacted_none,num_insurers_past_5_years,collision_type_side,policy_state_wa
0,1,25000.0,3,1,1,1,1,2,1,1,0,16,33000.0,10,1,0,0,0,0,0,750,0,0,2,0,0,0,8000.0,2650,0,6,0,0,0,90,1,0,3,45,0,2013,0,1,0,1
0,1,0.0,2,1,1,1,0,6,1,1,0,3,12000.0,2,1,0,0,0,0,0,750,0,0,1,0,0,0,12000.0,2850,0,18,0,0,0,12,0,0,3,60,0,2014,0,1,0,1
0,1,1000.0,1,0,1,1,1,5,0,0,0,12,17000.0,10,1,0,0,0,0,1,750,0,0,0,0,1,1,16000.0,3000,0,14,1,0,0,172,0,0,1,54,0,2015,0,1,0,0
0,1,0.0,2,1,3,1,0,4,1,1,0,25,13000.0,1,0,0,0,0,0,0,750,1,0,1,0,0,0,13000.0,2800,0,20,0,0,0,68,0,0,0,42,0,2020,0,1,0,0
0,1,7000.0,3,1,1,0,1,1,0,0,0,15,43000.0,1,2,0,1,0,0,0,750,0,1,0,0,0,0,36000.0,3000,1,6,0,0,2,183,1,0,3,58,0,2014,0,1,1,0
0,0,0.0,2,1,1,1,0,2,1,1,0,13,10000.0,3,0,0,0,0,0,0,750,0,1,1,0,0,0,10000.0,3000,0,13,0,0,0,33,0,0,1,38,0,2016,1,2,0,0
0,0,0.0,2,1,0,1,0,0,1,0,0,29,8000.0,4,0,0,0,0,0,0,750,1,0,3,1,0,0,8000.0,2850,0,21,0,0,0,74,0,0,3,69,0,2017,1,1,0,0
0,1,50000.0,3,1,1,1,3,3,0,1,0,19,65000.0,12,2,1,0,1,0,0,750,0,0,2,0,0,0,15000.0,3000,0,17,0,0,0,120,1,0,3,64,0,2010,0,1,0,0
0,1,10500.0,2,1,1,1,1,0,1,1,0,23,27500.0,9,1,1,0,0,0,0,750,0,0,0,0,0,0,17000.0,3000,0,15,0,0,0,8,1,0,3,20,0,2016,0,3,0,0
0,0,30000.0,2,1,2,1,1,0,1,1,1,13,63000.0,5,2,0,0,0,0,0,750,0,1,3,0,0,0,33000.0,3000,0,11,0,0,0,105,0,0,3,61,0,2014,0,1,0,0
